occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,order,family,genus,taxon_environment,life_habit,diet,museum,collection_no,early_interval,late_interval,time_bins,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,environment,tectonic_setting,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,spatial_resolution,preservation_comments,collection_type,collection_methods,collectors,collection_dates,collection_comments,taxonomy_comments,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N12,NA,NA,cr�nio parcial regi?o porsterior,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Australerpeton,NA,NA,NA,UFRGS-PV-,0224 P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.24,-24.05,UFRGS-PV-0224 P,BR,PR,Serra do Cadeado,Rio do Rasto,Passa Dois,Morro Pelado,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cosgriffi,Faxinal,-,-,Literature,Eltink
N11,NA,NA,partial humerus,NA,NA,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,NA,NA,NA,ULBRA,PVT 062,Norian,NA,Norian,227,208.5,217.75,18.5,-53.43,-29.66,ULBRAPVT 062,BR,RS,Pivetta,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,S?o Jo?o do Pol�sine,Pivetta,Pivetta,Literature,Dias?da?Silva
N10,NA,NA,partial clavicle (with 047),NA,NA,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,NA,NA,NA,ULBRA,PVT 061,Norian,NA,Norian,227,208.5,217.75,18.5,-53.43,-29.66,ULBRAPVT 061,BR,RS,Pivetta,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,S?o Jo?o do Pol�sine,Pivetta,Pivetta,Literature,Dias?da?Silva
N1,NA,NA,-,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Australerpeton,NA,NA,NA,UFPR,"UFPR 0199 PV, UFPR 0198 PV",Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-50.63,-23.8,"UFPRUFPR 0199 PV, UFPR 0198 PV",BR,PR,S?o Jer�nimo da Serra,Rio do Rasto,Passa Dois,Morro Pelado,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cosgriffi,S?o Jer�nimo da Serra,S?o Jer�nimo da Serra Site,S?o Jer�nimo da Serra Site,Literature,Azevedo
1646560,mold/impression,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Wetlugasaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,105043,Olenekian,,Olenekian,251.2,247.2,249.2,4,39.044998,58.021,,RU,Yaroslavl,Rybinsk,Rybinsk,,,,Wetlugasaurus angustifrons,NA,species,270206,Wetlugasaurus angustifrons,species,270206,,Novikov and Sennikov,1996,87553,Tikhvinskoe (PIN collection 4048),NA,,based on nearby landmark,3,outcrop,"Yaroslavl Region, Rybinsk District, right bank of the Volga River near Tikhvinskoe",gplates,302,mid,45.95,41,scotese,301,mid,32.55,30.82,seton,not computable using this model,NA,NA,NA,RU,,group of beds,,,siltstone,,lithified,,delta plain,cratonic basin,"macrofossils,mesofossils",,,,,,,taxonomic,field collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1646274,mold/impression,,,NA,,Amphibia,Temnospondyli,Dvinosauridae,Dvinosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,104754,Wuchiapingian,,Wuchiapingian,259.51,254.14,256.825,5.37,45.619999,60.613998,,RU,Vologda,,Poldarsa,,Kichuga,Proelginia permiana,Dvinosaurus primus,NA,species,56905,Dvinosaurus aff. primus,species,56905,,Arefiev et al.,2015,87479,"Isady Locality (Mutovino, PIN collection 3840)",NA,,based on nearby landmark,3,outcrop,"Left bank of Sukhona River, 1.8 km downstream of the area of Mutovino, opposite village of Isady (Issady), Velikoustyugskii District",gplates,302,mid,47.22,40.26,scotese,301,mid,37.29,33.14,seton,not computable using this model,NA,NA,NA,RU,,group of beds,Chroniosaurus levis vertebrate subzone,,siltstone,,lithified,,lacustrine indet.,cratonic basin,macrofossils,,,,,,,taxonomic,field collection,,,,"Locality also includes flora, bivalves, ostracods, scorpions, fish scales, tetrapods",phosphatic,NA,NA,NA,NA,NA,NA
1646173,body,,,NA,,Amphibia,Temnospondyli,Dvinosauridae,Dvinosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,233451,Late Severodvinian,,Capitanian,264.28,259.51,261.895,4.77,45.532051,60.588951,,RU,Vologda,,Poldarsa,,Kichuga,,Dvinosaurus,NA,genus,37145,Dvinosaurus sp.,genus,37145,,Arefiev et al.,2015,87479,"Porog outcrop, bed 9",NA,,stated in text,5,,,gplates,302,mid,46.49,38.19,scotese,301,mid,37.82,32.47,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,lithified,,wet floodplain,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1646160,body,,,NA,,Amphibia,Temnospondyli,Dvinosauridae,Dvinosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,233448,Late Severodvinian,,Capitanian,264.28,259.51,261.895,4.77,45.43092,60.583851,,RU,Vologda,,Poldarsa,,Purtovino,,Dvinosaurus,NA,genus,37145,Dvinosaurus sp.,genus,37145,,Arefiev et al.,2015,87479,"Nikulino outcrop, bed 47-54",NA,,stated in text,5,,,gplates,302,mid,46.44,38.16,scotese,301,mid,37.78,32.44,seton,not computable using this model,NA,NA,NA,RU,,,,,claystone,,lithified,,wet floodplain,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1643411,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Melanerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,232997,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.408333,50.6325,MHK 70030-70031,CZ,Liberec,,Vrchlabi,,Rudnik,,Melanerpeton,NA,genus,260059,Melanerpeton sp.,genus,260059,,Stamberg,2016,87150,"Rybnice, ""Hrádecký Creek""",NA,,,seconds,,,gplates,305,mid,24.25,7.42,scotese,305,mid,22.53,5.58,seton,not computable using this model,NA,NA,NA,CZ,,,,,claystone,,,calcareous,lacustrine - large,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1643397,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Melanerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,232996,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.596111,50.62278,,CZ,Liberec,,Vrchlabi,,Rudnik,,Melanerpeton,NA,genus,260059,Melanerpeton sp.,genus,260059,,Stamberg,2016,87150,"Vrchlabí, ""Road cut""",NA,,,seconds,,,gplates,305,mid,24.37,7.45,scotese,305,mid,22.65,5.62,seton,not computable using this model,NA,NA,NA,CZ,,,,,claystone,,,calcareous,lacustrine - large,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1643375,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Melanerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,232993,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.39238,50.573055,,CZ,Liberec,,Vrchlabi,,Rudnik,,Melanerpeton,NA,genus,260059,Melanerpeton sp.,genus,260059,,Stamberg,2016,87150,"Košťálov, ""Kovář´s mill""",NA,,,seconds,,,gplates,305,mid,24.26,7.36,scotese,305,mid,22.55,5.53,seton,not computable using this model,NA,NA,NA,CZ,,,,,claystone,,,calcareous,lacustrine - large,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1643373,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Branchiosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,232993,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.39238,50.573055,,CZ,Liberec,,Vrchlabi,,Rudnik,,Branchiosaurus,NA,genus,37039,Branchiosaurus sp.,genus,37039,,Stamberg,2016,87150,"Košťálov, ""Kovář´s mill""",NA,,,seconds,,,gplates,305,mid,24.26,7.36,scotese,305,mid,22.55,5.53,seton,not computable using this model,NA,NA,NA,CZ,,,,,claystone,,,calcareous,lacustrine - large,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1643371,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Archegosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,232993,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.39238,50.573055,,CZ,Liberec,,Vrchlabi,,Rudnik,,Archegosaurus dyscriton,NA,species,320850,Archegosaurus dyscriton,species,345867,,Stamberg,2016,87150,"Košťálov, ""Kovář´s mill""",NA,,,seconds,,,gplates,305,mid,24.26,7.36,scotese,305,mid,22.55,5.53,seton,not computable using this model,NA,NA,NA,CZ,,,,,claystone,,,calcareous,lacustrine - large,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1642296,body,,,1,specimens,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Trypanognathus,"brackish,freshwater,terrestrial",amphibious,carnivore,,109702,Gzhelian,Asselian,-,303.7,293.52,298.61,10.18,7.434722,49.924442,"Holotype—UGKU 2394, consisting of complete skull, interclavicle, clavicles, neural arches, and partial left hind limb",DE,Rhineland-Palatinate,Kusel,Remigiusberg,Rotliegend,,,Trypanognathus remigiusbergensis,NA,species,400653,n. gen. Trypanognathus n. sp. remigiusbergensis,species,400653,,Schoch and Voigt,2019,71198,Remigiusberg Quarry,NA,UGKU locality 21,stated in text,seconds,,"UGKU L-71, Remigiusberg-Rammelskopf quarry at the northeastern rim of the Remigiusberg (387631 E, 5487527 N, UTM 32U, WGS 84), about 1 km northeast of Haschbach, Kusel county, western Rhineland–Palatinate, Saar-Nahe Basin, Germany (Voigt et al. 2014: fig. 1). The Remigiusberg quarry is a large, active, open-cast mine, producing subvolcanic rock for the production of road and railroad gravel. ",gplates,315,mid,19.03,4.57,scotese,315,mid,17.7,2.11,seton,not computable using this model,NA,NA,NA,DE,,,"""The Remigiusberg quarry belongs to the continental Carboniferous–Permian Lorraine–Saar–Nahe Basin, which is one of the largest intramontane basins of the European Variscides (Schäfer, 1986)."" [...] ""Radioisotopic dates from volcanic tuff beds of the Remigiusberg and immediately overlying Altenglan formations suggest that the sediments exposed at the Remigiusberg quarry cover the Carboniferous–Permian boundary with a minimum age of 298.7 ± 0.4 Ma"" Werneburg et al. (2024)","""calcareous, fine-grained sandstone of gray-green colour with coarse silty lamina"". ""The Saar–Nahe Basin accumulated an up to a 10,000-m-thick succession of volcano-sedimentary rocks. [...] Up to 40 m of fluvio-lacustrine and deltaic sediments of the Remigiusberg Formation currently exposed at the Remigiusberg quarry show a complex interbedding of fluvio-deltaic conglomerate, sandstone, and mudstone, with lacustrine limestone and volcanic tuff beds as minor components. Lithostratigraphic subdivision of the succession is based on seven limestone units ranging 20–150 cm in thickness. The limestone units are referred to the Theisbergstegen and Haschbach lake levels of the middle part and to the Friedelhausen lake level of the basal upper part of the Remigiusberg Formation."" Werneburg et al. (2024)",sandstone,,lithified,silty,lacustrine indet.,intramontane basin,macrofossils,,,,,,"""The bones, scales, and teeth have a bright white coloration as a result of contact metamorphosis of the sediments with subvolcanic intrusions.""",taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1642295,body,,,2,specimens,Amphibia,Temnospondyli,Eryopidae,Stenokranio,"brackish,freshwater,terrestrial",amphibious,carnivore,,109702,Gzhelian,Asselian,-,303.7,293.52,298.61,10.18,7.434722,49.924442,"Holotype: NHMMZ/LS PW 2019/5025 (formerly: UGKU 2564), consisting of the skull with skull roof and palate, together with remains of the mandibles. Paratype: NHMMZ/LS PW 2019/5022 (formerly: UGKU 1998), consisting of the greater portion of skull roof, parts of the palate with palatine, choana and several pairs of fangs, and the mandible in lateral view, together with a few bones of the anterior postcranium.",DE,Rhineland-Palatinate,Kusel,Remigiusberg,Rotliegend,,,Stenokranio boldi,NA,species,481301,n. gen. Stenokranio n. sp. boldi,species,481301,,Werneburg et al.,2024,87062,Remigiusberg Quarry,NA,UGKU locality 21,stated in text,seconds,,"UGKU L-71, Remigiusberg-Rammelskopf quarry at the northeastern rim of the Remigiusberg (387631 E, 5487527 N, UTM 32U, WGS 84), about 1 km northeast of Haschbach, Kusel county, western Rhineland–Palatinate, Saar-Nahe Basin, Germany (Voigt et al. 2014: fig. 1). The Remigiusberg quarry is a large, active, open-cast mine, producing subvolcanic rock for the production of road and railroad gravel. ",gplates,315,mid,19.03,4.57,scotese,315,mid,17.7,2.11,seton,not computable using this model,NA,NA,NA,DE,,,"""The Remigiusberg quarry belongs to the continental Carboniferous–Permian Lorraine–Saar–Nahe Basin, which is one of the largest intramontane basins of the European Variscides (Schäfer, 1986)."" [...] ""Radioisotopic dates from volcanic tuff beds of the Remigiusberg and immediately overlying Altenglan formations suggest that the sediments exposed at the Remigiusberg quarry cover the Carboniferous–Permian boundary with a minimum age of 298.7 ± 0.4 Ma"" Werneburg et al. (2024)","""calcareous, fine-grained sandstone of gray-green colour with coarse silty lamina"". ""The Saar–Nahe Basin accumulated an up to a 10,000-m-thick succession of volcano-sedimentary rocks. [...] Up to 40 m of fluvio-lacustrine and deltaic sediments of the Remigiusberg Formation currently exposed at the Remigiusberg quarry show a complex interbedding of fluvio-deltaic conglomerate, sandstone, and mudstone, with lacustrine limestone and volcanic tuff beds as minor components. Lithostratigraphic subdivision of the succession is based on seven limestone units ranging 20–150 cm in thickness. The limestone units are referred to the Theisbergstegen and Haschbach lake levels of the middle part and to the Friedelhausen lake level of the basal upper part of the Remigiusberg Formation."" Werneburg et al. (2024)",sandstone,,lithified,silty,lacustrine indet.,intramontane basin,macrofossils,,,,,,"""The bones, scales, and teeth have a bright white coloration as a result of contact metamorphosis of the sediments with subvolcanic intrusions.""",taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1640847,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Branchiosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,232614,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.610278,50.627777,,CZ,Krkonose,,Vrchlabí,,Rudnik,,Branchiosaurus,NA,genus,37039,Branchiosaurus sp.,genus,37039,,Opluštil et al.,2013,86761,Vrchlabí locality,NA,,,6,,,gplates,305,mid,24.37,7.46,scotese,305,mid,22.66,5.63,seton,not computable using this model,NA,NA,NA,CZ,,,,,mudstone,,lithified,,lacustrine - large,,"macrofossils,mesofossils,microfossils",,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1640846,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Apateon,"brackish,freshwater,terrestrial",amphibious,carnivore,,232614,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.610278,50.627777,,CZ,Krkonose,,Vrchlabí,,Rudnik,,Apateon,NA,genus,37038,Apateon cf. umbrosa,species,37038,species not entered,Opluštil et al.,2013,86761,Vrchlabí locality,NA,,,6,,,gplates,305,mid,24.37,7.46,scotese,305,mid,22.66,5.63,seton,not computable using this model,NA,NA,NA,CZ,,,,,mudstone,,lithified,,lacustrine - large,,"macrofossils,mesofossils,microfossils",,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1640845,body,,,NA,,Amphibia,Temnospondyli,Branchiosauridae,Melanerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,232614,Asselian,,Asselian,298.9,293.52,296.21,5.38,15.610278,50.627777,,CZ,Krkonose,,Vrchlabí,,Rudnik,,Melanerpeton,NA,genus,260059,Melanerpeton sp.,genus,260059,,Opluštil et al.,2013,86761,Vrchlabí locality,NA,,,6,,,gplates,305,mid,24.37,7.46,scotese,305,mid,22.66,5.63,seton,not computable using this model,NA,NA,NA,CZ,,,,,mudstone,,lithified,,lacustrine - large,,"macrofossils,mesofossils,microfossils",,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
