occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,family,genus,taxon_environment,life_habit,diet,early_interval,late_interval,time_bins,museum,collection_no,age_max,age_min,age_median,age_uncer_range,lng,lat,environment,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_rank,ref_author,ref_pubyr,reference_no.x,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,protected,stratscale,localsection,localbed,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,collection_comments,taxonomy_comments
N74,NA,NA,pre maxila e parte anterior da maxila com dentes,NA,NA,Reptilia,Prestosuchidae,Prestosuchus,terrestrial,"ground dwelling, solitary",carnivore,Ladinian,NA,Ladinian,MPDC,657-136 (659-138),242,237,239.5,5,-52.84,-29.68,NA,MPDC657-136 (659-138),BR,RS,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N73,NA,NA,dent�rio,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MPDC,327,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MPDC327,BR,RS,-,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N72,NA,NA,maxila,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MMACR,032 T,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MMACR032 T,BR,RS,Vale do Sol,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N71,NA,NA,humerus e maxila,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MCZ,4555,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCZ4555,BR,RS,Cerrito,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N70,NA,NA,cranio com dentario,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MCZ,1635,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCZ1635,BR,RS,Sao Jose? (embaixo do cemit?rio coletado por Price),Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N69,NA,NA,cranio fragmentario,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MCZ,1637,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCZ1637,BR,RS,Sao Jose?,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N68,NA,NA,cranio completo juvenil,NA,NA,Reptilia,Prestosuchidae,Prestosuchus,terrestrial,"ground dwelling, solitary",carnivore,Ladinian,NA,Ladinian,MCZ,4167,242,237,239.5,5,-53.46,-29.65,NA,MCZ4167,BR,RS,-,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N67,NA,NA,juvenil skull,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,MCP-PUCRS-,1583,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCP-PUCRS-1583,BR,RS,Vila Kennedy,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N64,NA,NA,maxila direita,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,CAPPA/UFSM,44,227,208.5,217.75,18.5,35.21666667,-10.35,NA,CAPPA/UFSM0044 b,BR,RS,Buriol,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N63,NA,NA,1 maxila direita,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,CAPPA/UFSM,0044 a,227,208.5,217.75,18.5,35.21666667,-10.35,NA,CAPPA/UFSM0044 a,BR,RS,Buriol,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N62,NA,NA,"rib, tibia, humerus",NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,UFRGS-PV-,0247 T,227,208.5,217.75,18.5,35.21666667,-10.35,NA,UFRGS-PV-0247 T,BR,RS,-,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N61,NA,NA,maxila VER na literatura,NA,NA,Reptilia,Rhynchosauridae,Brasinorhynchus,terrestrial,"ground dwelling, solitary",herbivore,Ladinian,NA,Ladinian,UFRGS-PV-,0315 T,242,237,239.5,5,-53.79,-29.7,NA,UFRGS-PV-0315 T,BR,RS,Porto Mariante 2,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N59,NA,NA,right and left unarticulated lower jaws (associated to the skull but not articulated),NA,NA,Reptilia,Eusphenodontia,Clevosaurus,terrestrial,"ground dwelling, solitary",carnivore,Norian,NA,Norian,MCN-PV-,2852,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCN-PV-2852,BR,RS,Linha S?o Luiz,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N58,NA,NA,almost complete skeleton without armor (Holotype of Polesinesuchus),NA,NA,Reptilia,Non-stagonolepididae aetosaur,Aetosauroides,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,ULBRA,3,227,208.5,217.75,18.5,35.21666667,-10.35,NA,ULBRA003,BR,RS,Buriol,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N57,NA,NA,"skull and postcranium, hindlimb elements",NA,NA,Reptilia,Proterochampsidae,Kuruxuchampsa,terrestrial,"ground dwelling, solitary",carnivore,Carnian,NA,Carnian,UFRGS-PV-,0877 T,237,227,232,10,-53.43,-29.66,NA,UFRGS-PV-0877 T,BR,RS,Schoenstatt,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N56,NA,NA,-,NA,NA,Reptilia,Prestosuchidae,Prestosuchus,terrestrial,"ground dwelling, solitary",carnivore,Ladinian,NA,Ladinian,UFRGS-PV-,0629 T,242,237,239.5,5,-53.79,-29.7,NA,UFRGS-PV-0629 T,BR,RS,-,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N55,NA,NA,partial right ilium,NA,NA,Reptilia,Silesauridae,Gamatavus,terrestrial,ground dwelling,NA,Ladinian,NA,Ladinian,UFSM,11348a,242,237,239.5,5,-53.45,-29.63,NA,UFSM11348a,BR,RS,BR 158 federal road,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N53,NA,NA,-,NA,NA,Reptilia,Non-stagonolepididae aetosaur,Aetosauroides,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,MCN-PV,2347,227,208.5,217.75,18.5,35.21666667,-10.35,NA,MCN-PV2347,BR,RS,Piche,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N52,NA,NA,-,NA,NA,Reptilia,Non-stagonolepididae aetosaur,Aetosauroides,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,UFRGS-PV-,1514-T,227,208.5,217.75,18.5,26.7083,-30.6917,NA,UFRGS-PV-1514-T,BR,RS,Faixa Nova Area,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N51,NA,NA,-,NA,NA,Reptilia,Non-stagonolepididae aetosaur,Aetosauroides,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,UFSM,11070,227,208.5,217.75,18.5,26.7083,-30.6917,NA,UFSM11070,BR,RS,Faixa Nova Area,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N50,NA,NA,-,NA,NA,Reptilia,Herrerasauridae,Gnathovorax,terrestrial,"ground dwelling, solitary",carnivore,Norian,NA,Norian,CAPPA/UFSM,9,227,208.5,217.75,18.5,26.7083,-30.6917,NA,CAPPA/UFSM0009,BR,RS,Marchezan,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N49,NA,NA,"a partial skeleton, including a skull with lower jaws, 11 dorsal vertebrae, two sacral vertebrae, a complete pelvic girdle, both femora (lacking the distal portion), partial lef tibia, partial lef fbula, and  lef calcaneum",NA,NA,Reptilia,Gracilisuchidae,Parvosuchus,terrestrial,"ground dwelling, solitary",carnivore,Ladinian,NA,Ladinian,CAPPA/UFSM,412,242,237,239.5,5,-53.18,-29.73,NA,CAPPA/UFSM0412,BR,RS,-,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,genus,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N48,NA,NA,"partial skeleton of a single individual, including cranial and postcranial remains",NA,NA,Reptilia,Lagerpetidae,Venetoraptor,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,CAPPA/UFSM ,356,227,208.5,217.75,18.5,26.623056,-30.612223,NA,CAPPA/UFSM 356,BR,RS,Buriol,Burgersdorp,Beaufort,-,"Cynognathus , Cynognathus B subzone",genus,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N47,NA,NA,distal left femur,NA,NA,Reptilia,Silesauridae,Amanasaurus,terrestrial,ground dwelling,NA,Norian,NA,Norian,CAPPA/UFSM,375,227,208.5,217.75,18.5,26.71666667,-30.7,NA,CAPPA/UFSM0375,BR,RS,Pivetta,Burgersdorp,Beaufort,-,Cynognathus,genus,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N46,NA,NA,proximal right�femur,NA,NA,Reptilia,Silesauridae,Amanasaurus,terrestrial,ground dwelling,NA,Norian,NA,Norian,CAPPA/UFSM,374,227,208.5,217.75,18.5,-53.77,-29.7,NA,CAPPA/UFSM0374,BR,RS,Pivetta,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N45,NA,NA,1 cr�nio parcial (d),NA,NA,Reptilia,Unaysauridae,Macrocollum,terrestrial,"ground dwelling, solitary",NA,Norian,NA,Norian,CAPPA/UFSM,0001d ,227,208.5,217.75,18.5,-53.79,-29.7,NA,CAPPA/UFSM0001d ,BR,RS,Agudo,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,genus,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
